source,destination,route_id,route_label
CCU,MAA,1,CCU → MAA
BOM,CCU,2,BOM → CCU
MAA,BOM,3,MAA → BOM
DEL,HYD,4,DEL → HYD
BOM,HYD,5,BOM → HYD
BLR,BOM,6,BLR → BOM
DEL,BLR,7,DEL → BLR
BOM,DEL,8,BOM → DEL
DEL,MAA,9,DEL → MAA
DEL,BOM,10,DEL → BOM
MAA,DEL,11,MAA → DEL
CCU,DEL,12,CCU → DEL
HYD,DEL,13,HYD → DEL
HYD,MAA,14,HYD → MAA
HYD,CCU,15,HYD → CCU
BOM,MAA,16,BOM → MAA
HYD,BOM,17,HYD → BOM
DEL,CCU,18,DEL → CCU
MAA,HYD,19,MAA → HYD
CCU,HYD,20,CCU → HYD
MAA,CCU,21,MAA → CCU
CCU,BLR,22,CCU → BLR
MAA,BLR,23,MAA → BLR
HYD,BLR,24,HYD → BLR
BLR,CCU,25,BLR → CCU
BOM,BLR,26,BOM → BLR
BLR,MAA,27,BLR → MAA
CCU,BOM,28,CCU → BOM
BLR,HYD,29,BLR → HYD
BLR,DEL,30,BLR → DEL
