booking_id,passenger_id,flight_id,booking_date_id,status,seat_number,amount,amount_is_missing,payment_method
B1000,P1591,AI192,20250614,CANCELLED,3D,,,
B1001,P1803,6F026,20251102,CANCELLED,18A,,,
B1002,P1083,SJ010,20250825,CANCELLED,30C,6087.22,False,UPI
B1002,P1083,SJ010,20250825,CANCELLED,30C,2505.86,False,NETBANKING
B1003,P1364,AI069,20251230,CONFIRMED,33A,,,
B1004,P1885,UK003,20251002,PENDING,25C,12222.48,False,UPI
B1005,P1548,AI048,20250831,CONFIRMED,13D,13378.9,False,UPI
B1006,P1341,AI140,20250629,CANCELLED,17F,14980.37,False,NETBANKING
B1007,P1838,UK167,20260312,CONFIRMED,22E,,,
B1008,P1406,AI245,20250907,PENDING,34F,,,
B1009,P1424,SJ158,20250428,CANCELLED,33C,,,
B1010,P1743,AI155,20251124,CONFIRMED,15B,,True,NETBANKING
B1011,P1092,AI179,20251025,CONFIRMED,22C,2115.18,False,CARD
B1012,P1847,AI137,20250815,PENDING,28B,,True,CARD
B1012,P1847,AI137,20250815,PENDING,28B,4074.67,False,CARD
B1012,P1847,AI137,20250815,PENDING,28B,12647.86,False,CARD
B1012,P1847,AI137,20250815,PENDING,28B,6979.86,False,CARD
B1013,P1613,SJ001,20250720,CONFIRMED,26E,1176.33,False,UPI
B1014,P1411,SJ172,20250915,PENDING,21E,,,
B1015,P1431,UK094,20251021,UNKNOWN,6F,12008.1,False,CARD
B1015,P1431,UK094,20251021,UNKNOWN,6F,7601.56,False,CARD
B1016,P1677,UK027,20260113,CANCELLED,6A,14076.51,False,CARD
B1016,P1677,UK027,20260113,CANCELLED,6A,9724.26,False,NETBANKING
B1017,P1158,UK067,20260404,CONFIRMED,13B,,,
B1018,P1013,6F196,20260325,CANCELLED,19B,2588.63,False,UPI
B1019,P1372,6F164,20250731,CANCELLED,19A,14810.27,False,UPI
B1019,P1372,6F164,20250731,CANCELLED,19A,,True,UPI
B1019,P1372,6F164,20250731,CANCELLED,19A,3810.73,False,CARD
B1020,P1224,SJ112,20251206,CONFIRMED,27B,8150.35,False,NETBANKING
B1021,P1504,6F190,20251207,CANCELLED,4E,6949.93,False,UPI
B1022,P1072,AI080,20260325,CONFIRMED,16F,,,
B1023,P1248,6F213,20260203,PENDING,24B,13057.27,False,CARD
B1024,P1510,AI115,20250621,PENDING,30F,4857.79,False,UPI
B1025,P1602,SJ049,20260318,PENDING,1B,9721.62,False,CARD
B1025,P1602,SJ049,20260318,PENDING,1B,11899.89,False,UPI
B1025,P1602,SJ049,20260318,PENDING,1B,14501.45,False,CARD
B1026,P1215,AI058,20250627,CONFIRMED,32C,2015.66,False,NETBANKING
B1026,P1215,AI058,20250627,CONFIRMED,32C,11188.7,False,UPI
B1027,P1972,UK036,20250725,CONFIRMED,22A,7503.17,False,UPI
B1028,P1601,SJ239,20250525,CANCELLED,26E,,,
B1029,P1540,6F025,20250606,CANCELLED,19C,,,
B1030,P1946,6F236,20260318,CANCELLED,21E,,,
B1031,P1816,AI060,20251116,CANCELLED,1E,7056.42,False,CARD
B1032,P1938,UK021,20250903,CANCELLED,18E,,,
B1033,P1987,UK026,20250506,UNKNOWN,19A,9352.83,False,CARD
B1033,P1987,UK026,20250506,UNKNOWN,19A,,True,UPI
B1033,P1987,UK026,20250506,UNKNOWN,19A,7723.56,False,UPI
B1034,P1219,SJ179,20251231,CONFIRMED,22F,,,
B1035,P1839,6F251,20250821,PENDING,11D,,,
B1036,P1726,SJ149,20251124,PENDING,5B,5144.89,False,CARD
B1037,P1220,AI188,20260320,PENDING,33E,,,
B1038,P1388,SJ093,20260101,PENDING,12D,,,
B1039,P1553,SJ205,20250821,CONFIRMED,11E,6604.98,False,CARD
B1039,P1553,SJ205,20250821,CONFIRMED,11E,8185.34,False,UPI
B1039,P1553,SJ205,20250821,CONFIRMED,11E,9866.37,False,CARD
B1040,P1646,6F099,20250808,CONFIRMED,26B,,,
B1041,P1041,UK176,20250528,CONFIRMED,25C,13829.91,False,UPI
B1041,P1041,UK176,20250528,CONFIRMED,25C,9750.27,False,NETBANKING
B1042,P1675,UK200,20251202,CANCELLED,24F,14402.39,False,CARD
B1043,P1872,6F195,20251122,CANCELLED,8E,8291.6,False,UPI
B1044,P1282,6F174,20260412,PENDING,16C,1199.88,False,UPI
B1045,P1057,SJ214,20260319,UNKNOWN,18C,2330.65,False,NETBANKING
B1045,P1057,SJ214,20260319,UNKNOWN,18C,4401.56,False,UPI
B1045,P1057,SJ214,20260319,UNKNOWN,18C,,True,NETBANKING
B1046,P1813,UK059,20251014,CONFIRMED,2C,13689.48,False,UPI
B1046,P1813,UK059,20251014,CONFIRMED,2C,12592.83,False,UPI
B1047,P1833,6F151,20251229,PENDING,7C,,,
B1048,P1536,SJ236,20250919,PENDING,18C,,,
B1049,P1072,SJ153,20250728,UNKNOWN,3C,,,
B1050,P1884,AI220,20260115,PENDING,7D,13350.33,False,NETBANKING
