route_label,amount
BOM → CCU,700135.0
CCU → DEL,582851.0
DEL → HYD,521799.0
BLR → BOM,506069.0
MAA → BLR,492102.0
HYD → MAA,438428.0
HYD → DEL,305771.0
HYD → BLR,302332.0
BOM → DEL,299356.0
HYD → CCU,242911.0
DEL → CCU,233037.0
BOM → HYD,227516.0
DEL → BLR,201096.0
DEL → BOM,191097.0
BOM → MAA,185131.0
MAA → CCU,178290.0
CCU → HYD,168390.0
CCU → BOM,150840.0
HYD → BOM,148760.0
BOM → BLR,145967.0
MAA → BOM,138557.0
CCU → BLR,132451.0
MAA → DEL,128296.0
BLR → CCU,128232.0
CCU → MAA,123193.0
MAA → HYD,120344.0
BLR → HYD,110095.0
DEL → MAA,101351.0
BLR → MAA,90964.0
BLR → DEL,89782.0
